#
# Graph: ../as20graph.txt -> as20graph as20graph. A=0.001, K=10-1.5-100M, Cvr=10, SzFrc=0.001 G(6474, 13233) (Wed Jun 08 08:52:26 2011)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (6474, 13233)
238	0.197605
242	0.202142
243	0.200535
247	0.211964
249	0.20882
250	0.207254
253	0.207692
255	0.209657
259	0.208543
262	0.206983
263	0.206468
267	0.218029
269	0.217119
273	0.221463
275	0.217054
278	0.213527
281	0.210019
284	0.206532
287	0.203065
289	0.201144
291	0.19962
293	0.200378
298	0.20259
299	0.201472
304	0.237274
307	0.234079
310	0.232877
311	0.232479
315	0.232854
318	0.280309
323	0.278161
326	0.275229
330	0.271341
333	0.268441
336	0.265554
338	0.264194
341	0.295397
344	0.297432
350	0.299242
353	0.297414
357	0.292857
360	0.288857
363	0.284908
368	0.284416
370	0.282337
372	0.285517
379	0.288022
382	0.286479
386	0.285429
387	0.286472
394	0.288613
397	0.28804
399	0.288193
406	0.286344
409	0.284855
414	0.282526
418	0.280911
422	0.28125
424	0.279357
431	0.278427
435	0.277631
437	0.277807
444	0.276907
449	0.276596
453	0.275542
455	0.275347
462	0.276336
466	0.275949
468	0.276853
473	0.278166
481	0.282051
486	0.279036
490	0.276923
496	0.276798
499	0.27712
502	0.277778
508	0.285773
516	0.287946
521	0.285372
526	0.282418
527	0.282764
534	0.28499
541	0.286364
548	0.286876
553	0.285165
556	0.28325
564	0.280822
570	0.27782
575	0.275924
581	0.274286
587	0.272255
592	0.27024
599	0.268362
605	0.266081
611	0.263379
617	0.261549
623	0.256254
630	0.252688
636	0.250334
642	0.24834
649	0.245718
655	0.244182
662	0.242681
668	0.242656
675	0.240635
677	0.239
689	0.240718
696	0.23909
703	0.236141
710	0.234756
716	0.233101
724	0.231278
728	0.23003
738	0.224792
746	0.223072
752	0.221701
757	0.221053
768	0.21919
776	0.214407
784	0.211268
792	0.209524
800	0.207368
808	0.205107
816	0.204143
820	0.203044
832	0.201044
840	0.19824
846	0.197013
857	0.1926
866	0.189886
873	0.187784
883	0.185965
889	0.184263
895	0.184028
910	0.183085
919	0.182194
926	0.181053
935	0.179732
947	0.176749
957	0.172845
966	0.171238
973	0.169682
977	0.169519
995	0.167334
997	0.166815
1015	0.165606
1026	0.163573
1034	0.161781
1040	0.16136
1057	0.160764
1067	0.160547
1078	0.159067
1089	0.158273
1100	0.154835
1105	0.153911
1122	0.154492
1133	0.153486
1144	0.151369
1153	0.151661
1167	0.150647
1174	0.149156
1191	0.147929
1196	0.147244
1215	0.145898
1225	0.145006
1230	0.144891
1252	0.144436
1260	0.143617
1277	0.143444
1279	0.143337
1292	0.144022
1315	0.143535
1320	0.143741
1333	0.144611
1343	0.145882
1357	0.147069
1377	0.147857
1386	0.150751
1410	0.155353
1412	0.154963
1427	0.156522
1440	0.161609
1454	0.173638
1482	0.172845
1489	0.171197
1501	0.172307
1513	0.181653
1543	0.191446
1558	0.190324
1571	0.188789
1580	0.188016
1594	0.205991
1614	0.21251
1637	0.212662
1652	0.21134
1655	0.213799
1687	0.218529
1704	0.216157
1721	0.21434
1738	0.211721
1749	0.21008
1765	0.209781
1779	0.212249
1792	0.251326
1827	0.292322
1845	0.291101
1864	0.289823
1882	0.287454
1901	0.284374
1920	0.282611
1939	0.281059
1959	0.277284
1978	0.275039
1993	0.273293
2018	0.272068
2038	0.26981
2059	0.267572
2079	0.265804
2100	0.262909
2116	0.260921
2142	0.25836
2164	0.253698
2185	0.251019
2207	0.248432
2229	0.245456
2252	0.241776
2271	0.239621
2297	0.236512
2320	0.233751
2343	0.231198
2366	0.211864
2390	0.207079
2414	0.204113
2438	0.201991
2463	0.198305
2487	0.194846
2512	0.192234
2537	0.189812
2563	0.185025
2588	0.181168
2614	0.178525
2640	0.175895
2667	0.173258
2692	0.170778
2720	0.160647
2748	0.15635
2775	0.153403
2787	0.152268
2826	0.155293
2859	0.152483
2887	0.150976
2917	0.149625
2946	0.14924
2975	0.140508
3002	0.137866
